No,ホスト名,ドメイン,接続IP,OS名,OSリリース,ネットワーク構成,管理LAN,検査成績,検査結果,備考,インベントリ名,ジョブ名,システム名,シリアル,ディスク構成,サブネット構成,モデル名,ゲートウェイ構成,アーキテクチャ,CPU数,CPUコア数,CPUクロック数,MEM容量,NTP,内臓ディスク,ボンディング構成,コンソール,パッケージ,ホストグループ,テンプレート,接続アドレス,ステータス,利用可能,Syslog監視,トリガー
1,router1,['Router'],192.168.0.254,,,,,Not test, , ,rtx_check_sheet,net1,,,,,,,,,,,,,,,,,,,,,,,
1,vsp1,['HitachiVSP'],10.10.0.10,,,[0:126.255.0.15],,Not test, , ,HitachiVSPチェックシート,v1.24,[VSP G400/G600 and VSP F400/F600],[411702],"[ECC1-1:[RAID1(2D+2D):[6.4TB:4]], ECC1-2:[RAID1(2D+2D):[6.4TB:4]], ECCSpare Drive:[:[6.4TB:2]]]",[0:255.255.0.0],,,,,,,,,,,,,,,,,,,
1,eternus1,['Eternus'],10.20.2.52,,,"[MNT:10.20.2.52, RMT:192.168.1.52]",,100.0 %, , ,ETERNUSチェックシート,v1.24,,,,"[MNT:255.255.0.0, RMT:255.255.255.0]",,"[MNT:::, RMT:::]",,,,,,,,,,,,,,,,,
1,m10,['Solaris'],10.20.129.10,SunOS5.10,,"[lo0:127.0.0.1, igb0:10.20.129.10]",,83.3 %,"2 / 12 Failed : [net_route, user]", ,Solarisチェックシート,v1.24,,,"[/:487G, /etc/svc/volatile:170G, /platform/sun4v/lib/libc_psr.so.1:487G, /platform/sun4v/lib/sparcv9/libc_psr.so.1:487G, /tmp:171G, /var/run:170G, /export/ISO:141G, /mnt:311M]","[lo0:255.0.0.0, igb0:255.255.0.0]",, ,sun4v,32,16,3200,126.25,[],,,,,,,,,,,
2,m12,['Solaris'],10.20.129.12,SunOS5.11,,"[lo0:127.0.0.1, net0:10.20.129.12]",,83.3 %,"2 / 12 Failed : [net_route, user]", ,Solarisチェックシート,v1.24,,,"[/:547G, /system/volatile:121G, /var:547G, /tmp:121G, /var/share:547G, /system/zones:547G, /export:547G, /export/home:547G, /export/home/guest:547G, /export/install:547G, /rpool:547G, /var/share/pkg:547G, /var/share/pkg/repositories:547G]","[lo0:255.0.0.0, net0:255.255.0.0]",, ,sun4v,48,6,3200,125.5,[],,,,,,,,,,,
1,ostrich,"['Linux', 'Zabbix']",192.168.10.1,CentOS release 6.7,,"[lo:127.0.0.1/8, eth0:192.168.10.1/24, eth0:1:192.168.10.4/24]",[192.168.1.148],82.4 %,"3 / 17 Failed : [net_route, filesystem, sestatus]", ,サーバチェックシート,v1.24,,,"[/boot:500M, /:46.5G, [SWAP]:3G]","[lo:255.0.0.0, eth0:255.255.255.0, eth0:1:255.255.255.0]",,[192.168.10.254:eth0],x86_64 ,1,1,3192.607,1.8332023620605469,"[ntp:NotConfigured, server:[]]","[1,RAID 1/RAID 1+0,279 GiB:2]","[bonding:Configured, devices:[bond0], options:[miimon=100 updelay=100 mode=active-backup primary=eno1]]",CUI,"[alchemist, busybox-anaconda, dmidecode, net-snmp-libs, net-snmp-utils, strace, sysstat, system-config-netboot, system-config-netboot-cmd, tftp-server, xinetd]",[test1],[Template OS Linux],"[192.168.10.1, 127.0.0.1]",Monitored,Available,NotSupport,NotFoundError
2,cent7,"['Linux', 'Zabbix']",192.168.0.20,CentOS Linux release 7.3.1611,,"[lo:127.0.0.1/8, ens160:192.168.0.20/24, docker0:172.17.0.1/16]",,87.5 %,"2 / 16 Failed : [meminfo, mem_total]", ,サーバチェックシート,v1.24,,,"[/boot:500M, /:13.9G, [SWAP]:1.6G]","[lo:255.0.0.0, ens160:255.255.255.0, docker0:255.255.0.0]",,[192.168.0.254:ens160],x86_64 ,1,1,3191.642,1.796844482421875,"[ntp:NotConfigured, server:[]]",,"[bonding:NotConfigured, devices:[], options:[]]",CUI,,[test1],[Template OS Linux],"[192.168.0.20, 127.0.0.1]",Monitored,Available,NotSupport,NotFoundError
3,win2012,"['Windows', 'Zabbix']",192.168.0.24,Microsoft Windows Server 2012 R2 Standard 評価版,,[192.168.0.24],,61.5 %,"5 / 13 Failed : [vm, NumCpu, VMHost, filesystem, service]", ,サーバチェックシート,v1.24,,,[C:40],[255.255.255.0],,[192.168.0.254],64 ビット,1,1,3193,3.9995651245117188,"time.windows.com,0x9
",,"[teaming:NotConfigured, devices:[]]",,,[test1],[Template OS Windows],"[192.168.0.24, 127.0.0.1]",Monitored,Available,NotSupport,ErrorFound
